Test,Resultado
Formato,"['ALERTA (OPENOIBS): (int64, varchar)', 'ALERTA (MONEDA): (float64, char)', 'ALERTA (DIASMORA): (float64, smallint)', 'ALERTA (TIPDEUDA): (float64, smallint)', 'ALERTA (CUOTOT): (float64, smallint)', 'ALERTA (CUOIMP): (float64, smallint)', 'ALERTA (CUOPEN): (float64, smallint)', 'ALERTA (FECOPE): (float64, int)', 'ALERTA (FECVEN): (float64, int)', 'ALERTA (MARDET): (float64, char)', 'ALERTA (PERIODICIDAD): (float64, smallint)', 'ALERTA (FECACT): (float64, int)', 'ALERTA (FECBAJ): (float64, int)', 'ALERTA (MARDETF): (float64, smallint)', 'ALERTA (FPVENC): (float64, int)', 'ALERTA (GASTO): (float64, bigint)']"
duplicidad_id_mov,"('Cumple', 0.0004193975563801377)"
duplicidad_num_cuenta,"('No cumple', 0.0004193975563801377)"
fechas_validas,"('Cumple', 0.0)"
fec_movimiento,"('No cumple', 5.940381938364636)"
exactitud_intereses,"('No cumple', 5.940381938364636)"
test_mtorev,"('No cumple', 87.05295278597059)"
test_estado,"('No Cumple', 28.511554577427255)"
cod_banco,"('Cumple', 0)"
cod_divisa,"('No cumple', 94.75312687090629)"
cod_producto,"('Cumple', 0)"
cod_tlp,"('Cumple', 0)"
DIASMORA0_ESTADO1,"('No cumple', 12.44)"
DIASMORA30_ESTADO2,"('Cumple', 2.31)"
DIASMORA89_ESTADO5,"('No cumple', 19.01)"
